theta0,phi0,mtheta0,mphi0,omega_theta,omega_phi,drift_theta,drift_phi
0.0,0.12103981633974481,0.2422651708404823,3.981773256417506,2.200247116232609,4.353865657715544,4.277622436085298e-07,9.130863981543225e-08
0.0,0.12103981633974481,0.2691835231560914,3.8613734946752927,2.2028637119094947,4.3539171795753155,1.849765144787836e-10,3.6226176858611305e-07
0.0,0.12103981633974481,0.2961018754717006,3.723773744040341,2.2054812288150725,4.353970692600491,1.1174531379712114e-10,7.649395006784203e-08
0.0,0.12103981633974481,0.3230202277873097,3.5669840425479458,2.2081012486834792,4.354031089393499,6.364443786645703e-11,1.7481331421766848e-07
0.0,0.12103981633974481,0.34993858010291884,3.3883414902195557,2.210723711493206,4.35409627050709,2.6114232516395637e-09,1.7429051281067013e-07
0.0,0.12103981633974481,0.376856932418528,3.1841701557013247,2.213348546242027,4.354166660345189,5.518172458560205e-10,1.7322403028064355e-07
0.0,0.12103981633974481,0.4037752847341371,2.949172720974282,2.215975910335603,4.354242254836703,1.7045174861864705e-10,1.7324258156694403e-07
0.0,0.12103981633974481,0.4306936370497463,2.67523803191096,2.2186056947669353,4.354323057179807,6.671008938814297e-08,1.7230149013180405e-07
0.0,0.12103981633974481,0.45761198936535546,2.3487818008897556,2.221237862467068,4.354409064427727,9.024199961533092e-10,6.095275443624954e-07
0.0,0.12103981633974481,0.4845303416809646,1.943515371836085,2.22387402117548,4.354500271611803,1.2256484909429737e-06,6.09886103165233e-07
0.0,0.12103981633974481,0.5114486939965738,1.3922380128769332,2.2265093926095796,4.354596683701072,6.8093458073171e-11,6.121650385662144e-07
0.0,0.14471975511965973,0.0,4.403163559463949,0.0,2.17682752763385,0.0,5.629865274838278e-10
0.0,0.14471975511965973,0.03175013807210794,4.3976561607363935,2.179886709643353,4.353659176933103,1.7073810021654423e-07,1.7366545849691403e-07
0.0,0.14471975511965973,0.06350027614421588,4.381092425192297,2.182946289386544,4.353670064718086,1.1997231937335666e-09,1.7250110627803457e-07
0.0,0.14471975511965973,0.09525041421632384,4.353346152264363,2.186011149975927,4.3536882268907755,9.51072060578979e-09,1.6596461474163753e-07
0.0,0.14471975511965973,0.12700055228843177,4.314201589881445,2.1890796247930915,4.353713608297512,4.528999469652832e-10,1.7421662945974625e-07
0.0,0.14471975511965973,0.1587506903605397,4.263344784107812,2.192152229792474,4.353746267330552,1.7414578667761722e-07,1.745463786753236e-07
0.0,0.14471975511965973,0.19050082843264768,4.200350329623236,2.195226973130394,4.353786180412894,2.958863775200185e-10,1.7475740672921866e-07
0.0,0.14471975511965973,0.22225096650475562,4.12466214232097,2.198305997414648,4.353834245639288,7.04432087355435e-10,3.7949779142128847e-07
0.0,0.14471975511965973,0.25400110457686353,4.035566061702948,2.2013884903174583,4.353887455728755,1.0248024349151207e-09,1.0223836476336047e-07
0.0,0.14471975511965973,0.2857512426489715,3.9321507908248523,2.204476039198532,4.353948172027985,7.230772969535698e-07,1.1837377818690767e-07
0.0,0.14471975511965973,0.3175013807210794,3.8132514995136932,2.207563884999447,4.354018369186125,1.9788364392770418e-10,1.7504230715301514e-07
0.0,0.14471975511965973,0.3492515187931874,3.6773665725142752,2.210656747001716,4.3540945424584185,2.3300127500356535e-09,1.7415314945423857e-07
0.0,0.14471975511965973,0.38100165686529536,3.5225308475711596,2.213752929550788,4.354177959965738,7.187324847718951e-10,1.7377554169174998e-07
0.0,0.14471975511965973,0.41275179493740327,3.346114610840227,2.216852604032536,4.354268622414361,1.524797646901029e-10,1.727650757805688e-07
0.0,0.14471975511965973,0.44450193300951124,3.1444877419079775,2.2199556203255395,4.354366526891307,9.660653744267288e-10,6.090747339035771e-07
0.0,0.14471975511965973,0.47625207108161915,2.912418940070894,2.2230632631385903,4.3544716689433765,1.1071604812400683e-06,6.099317112279154e-07
0.0,0.14471975511965973,0.5080022091537271,2.641898135678371,2.2261716357018084,4.354584049483649,3.356544897573229e-11,6.119280976491587e-07
0.0,0.14471975511965973,0.5397523472258351,2.3195103339845393,2.229284560149393,4.354707061662548,1.5444747585560729e-07,1.6632611115470984e-07
0.0,0.14471975511965973,0.571502485297943,1.9192944987584208,2.232401022576014,4.354833907004181,1.0441089462682772e-07,1.641785282657044e-07
